Position Statement for <TOTAL>SCHW (ALL ACCOUNTS) on 3/31/25 19:33:51

None
Instrument,Qty,Net Liq,Trade Price,Last,ATR,HT_FPL,Account Name,Company Name,P/L %,P/L Open
D R HORTON INC,+15.0831,"$1,917.51",165.3724,127.13,3.79,0.0,HoldAccount,"D.R. Horton, Inc.",-23.23%,($580.31)
DKS,+2.671,$538.37,222.35,201.56,8.17,-642.32,HoldAccount,"DICK'S Sporting Goods, Inc.",+79.54%,$238.51
DICKS SPORTING GOODS,+2.671,$538.37,222.35,201.56,8.17,-642.32,HoldAccount,"DICK'S Sporting Goods, Inc.",+79.54%,$238.51
DUOL,+25,"$7,750.00",329.5257,310.54,20.81,2553.99,HoldAccount,"Duolingo, Inc.",+3.60%,$269.51
DUOLINGO INC A,+25,"$7,750.00",329.5257,310.54,20.81,2553.99,HoldAccount,"Duolingo, Inc.",+3.60%,$269.51
EGO,+363,"$6,116.55",17.446,16.82,0.55,0.0,HoldAccount,Eldorado Gold Corporation,-1.78%,($110.96)
ELDORADO GOLD CP,+363,"$6,116.55",17.446,16.82,0.55,0.0,HoldAccount,Eldorado Gold Corporation,-1.78%,($110.96)
ENB,+23.363,"$1,035.21",42.1538,44.31,0.72,99.16,HoldAccount,Enbridge Inc.,+20.71%,$177.58
ENBRIDGE INC,+23.363,"$1,035.21",42.1538,44.31,0.72,99.16,HoldAccount,Enbridge Inc.,+20.71%,$177.58
ET,,"$2,221.85",,18.59,0.48,2821.19,HoldAccount,Energy Transfer LP,+30.49%,$519.12
ENERGY TRANSFER L P,+119.5456,"$2,222.35",19.3341,18.59,0.48,2821.19,HoldAccount,Energy Transfer LP,+30.34%,$517.28
100 17 APR 25 30 CALL,-1,($0.50),.03,.05,loading,loading,HoldAccount,<empty>,+78.63%,$1.84
ETN,+0.093,$25.28,324.33,271.83,10.81,0.0,HoldAccount,Eaton Corporation plc,+22.53%,$4.65
EATON CORP PLC,+0.093,$25.28,324.33,271.83,10.81,0.0,HoldAccount,Eaton Corporation plc,+22.53%,$4.65
FCX,+28.1516,"$1,065.82",42.3492,37.86,1.7,55.79,HoldAccount,Freeport-McMoRan Inc.,-13.06%,($160.12)
FREEPORT-MCMORAN INC,+28.1516,"$1,065.82",42.3492,37.86,1.7,55.79,HoldAccount,Freeport-McMoRan Inc.,-13.06%,($160.12)
GDX,+55.5854,"$2,551.37",40.1076,45.97,1.15,1007.39,HoldAccount,<empty>,+15.58%,$344.01
VanEck Gold Miners ETF,+55.5854,"$2,551.37",40.1076,45.97,1.15,1007.39,HoldAccount,<empty>,+15.58%,$344.01
HLT,+8.1367,"$1,851.51",268.0859,227.55,6.85,3869.13,HoldAccount,Hilton Worldwide Holdings Inc.,+49.73%,$614.98
HILTON WORLDWIDE HLD,+8.1367,"$1,851.51",268.0859,227.55,6.85,3869.13,HoldAccount,Hilton Worldwide Holdings Inc.,+49.73%,$614.98
IBM,+5.7281,"$1,422.00",260.092,248.66,6.82,2953.42,HoldAccount,International Business Machines Corporation,+76.76%,$617.52
IBM CORP,+5.7281,"$1,422.00",260.092,248.66,6.82,2953.42,HoldAccount,International Business Machines Corporation,+76.76%,$617.52
INTC,+214,"$4,825.70",25.2889,22.71,1.26,-2830.93,HoldAccount,Intel Corporation,-1.47%,($72.09)
INTEL CORP,+214,"$4,825.70",25.2889,22.71,1.26,-2830.93,HoldAccount,Intel Corporation,-1.47%,($72.09)
IR,+13.1519,"$1,052.55",88.2996,80.03,2.27,-411.11,HoldAccount,Ingersoll Rand Inc.,+17.80%,$159.01
INGERSOLL RAND INC,+13.1519,"$1,052.55",88.2996,80.03,2.27,-411.11,HoldAccount,Ingersoll Rand Inc.,+17.80%,$159.01
KGC,+298,"$3,757.78",11.7816,12.61,0.42,499.58,HoldAccount,Kinross Gold Corporation,+19.11%,$602.97
KINROSS GOLD CORP,+298,"$3,757.78",11.7816,12.61,0.42,499.58,HoldAccount,Kinross Gold Corporation,+19.11%,$602.97
KLAC,+6.1494,"$4,177.16",728.7677,679.80,24.85,-1271.68,HoldAccount,KLA Corporation,+12.60%,$467.34
KLA CORP,+6.1494,"$4,177.16",728.7677,679.80,24.85,-1271.68,HoldAccount,KLA Corporation,+12.60%,$467.34
LIN,+11.5182,"$5,363.33",440.3553,465.64,7.59,0.0,HoldAccount,<empty>,+27.06%,"$1,142.32"
LINDE PLC,+11.5182,"$5,363.33",440.3553,465.64,7.59,0.0,HoldAccount,<empty>,+27.06%,"$1,142.32"
LLY,+3.0313,"$2,502.34",848.7717,825.91,24.53,408.34,HoldAccount,Eli Lilly and Company,-4.89%,($128.72)
ELI LILLY AND CO,+3.0313,"$2,502.34",848.7717,825.91,24.53,408.34,HoldAccount,Eli Lilly and Company,-4.89%,($128.72)
MOD,,"$49,698.25",,76.75,5.64,851.64,HoldAccount,Modine Manufacturing Company,-29.01%,"($20,310.33)"
MODINE MFG CO,+649,"$49,810.75",128.6419,76.75,5.64,851.64,HoldAccount,Modine Manufacturing Company,-28.87%,"($20,219.17)"
100 16 MAY 25 170 CALL,-1,($112.50),.22,.22,loading,loading,HoldAccount,<empty>,-427.18%,($91.16)
MSA,+9.0881,"$1,333.13",190.0762,146.69,3.08,-2033.87,HoldAccount,MSA Safety Incorporated,-22.94%,($396.77)
MSA SAFETY INC,+9.0881,"$1,333.13",190.0762,146.69,3.08,-2033.87,HoldAccount,MSA Safety Incorporated,-22.94%,($396.77)
MSI,+22.4128,"$9,812.55",439.714,437.81,7.74,1480.96,HoldAccount,"Motorola Solutions, Inc.",+29.57%,"$2,239.28"
MOTOROLA SOLUTIONS I,+22.4128,"$9,812.55",439.714,437.81,7.74,1480.96,HoldAccount,"Motorola Solutions, Inc.",+29.57%,"$2,239.28"
NVDA,+241.4002,"$25,981.90",137.5372,108.38,5.73,4051.27,HoldAccount,NVIDIA Corporation,+330.28%,"$19,943.53"
NVIDIA CORP,+241.4002,"$25,981.90",137.5372,108.38,5.73,4051.27,HoldAccount,NVIDIA Corporation,+330.28%,"$19,943.53"
NVO,+28,"$1,946.00",121.2869,69.44,2.64,754.45,HoldAccount,Novo Nordisk A/S,-45.74%,"($1,640.21)"
NOVO-NORDISK A S ADR,+28,"$1,946.00",121.2869,69.44,2.64,754.45,HoldAccount,Novo Nordisk A/S,-45.74%,"($1,640.21)"
OPXS,+221,"$1,255.28",9.4388,5.68,0.25,279.39,HoldAccount,"Optex Systems Holdings, Inc",-34.93%,($673.77)
OPTEX SYS HLDGS INC,+221,"$1,255.28",9.4388,5.68,0.25,279.39,HoldAccount,"Optex Systems Holdings, Inc",-34.93%,($673.77)
OSCR,+168,"$2,202.48",17.942,13.11,0.91,-3164.68,HoldAccount,"Oscar Health, Inc.",-30.02%,($945.00)
OSCAR HEALTH INC A,+168,"$2,202.48",17.942,13.11,0.91,-3164.68,HoldAccount,"Oscar Health, Inc.",-30.02%,($945.00)
PBI,+326.6225,"$2,955.93",8.6958,9.05,0.38,3664.19,HoldAccount,Pitney Bowes Inc.,+20.57%,$504.31
PITNEY BOWES INC,+326.6225,"$2,955.93",8.6958,9.05,0.38,3664.19,HoldAccount,Pitney Bowes Inc.,+20.57%,$504.31
PFSI,+49.3236,"$4,937.79",101.5853,100.11,2.81,2938.04,HoldAccount,"PennyMac Financial Services, Inc.",+26.05%,"$1,020.57"
PENNYMAC FINL SVCS I,+49.3236,"$4,937.79",101.5853,100.11,2.81,2938.04,HoldAccount,"PennyMac Financial Services, Inc.",+26.05%,"$1,020.57"
PGR,+55.4243,"$15,712.79",230.3259,283.01,6.18,416.46,HoldAccount,The Progressive Corporation,+44.44%,"$4,834.01"
PROGRESSIVE CORP OH,+55.4243,"$15,712.79",230.3259,283.01,6.18,416.46,HoldAccount,The Progressive Corporation,+44.44%,"$4,834.01"
PKG,+19.0852,"$3,779.25",236.288,198.02,4.53,0.0,HoldAccount,Packaging Corporation of America,-11.02%,($468.17)
PACKAGING CORP AMER,+19.0852,"$3,779.25",236.288,198.02,4.53,0.0,HoldAccount,Packaging Corporation of America,-11.02%,($468.17)
PLTR,+151,"$12,646.25",95.7125,84.40,6.37,7041.21,HoldAccount,Palantir Technologies Inc.,+37.01%,"$3,416.24"
PALANTIR TECHNOLOGIE A,+151,"$12,646.25",95.7125,84.40,6.37,7041.21,HoldAccount,Palantir Technologies Inc.,+37.01%,"$3,416.24"
QCOM,+8.0879,"$1,237.29",193.4988,153.61,4.72,-1744.06,HoldAccount,QUALCOMM Incorporated,-21.21%,($332.99)
QUALCOMM INC,+8.0879,"$1,237.29",193.4988,153.61,4.72,-1744.06,HoldAccount,QUALCOMM Incorporated,-21.21%,($332.99)
RACE,+4.027,"$1,723.07",473.5083,427.88,12.18,1636.75,HoldAccount,<empty>,+5.99%,$97.40
FERRARI N V NEW,+4.027,"$1,723.07",473.5083,427.88,12.18,1636.75,HoldAccount,<empty>,+5.99%,$97.40
RCL,+0.0488,$10.03,270.13,205.44,10.45,0.0,HoldAccount,Royal Caribbean Cruises Ltd.,+19.64%,$1.65
ROYAL CARIBBEAN GROU,+0.0488,$10.03,270.13,205.44,10.45,0.0,HoldAccount,Royal Caribbean Cruises Ltd.,+19.64%,$1.65
RITM,+481.3816,"$5,511.82",11.5729,11.45,0.23,415.68,HoldAccount,Rithm Capital Corp.,-1.60%,($89.69)
RITHM CAPITAL CORP REIT,+481.3816,"$5,511.82",11.5729,11.45,0.23,415.68,HoldAccount,Rithm Capital Corp.,-1.60%,($89.69)
RKLB,+116,"$2,071.76",19.044,17.88,1.58,75836.03,HoldAccount,"Rocket Lab USA, Inc.",+49.48%,$685.78
ROCKET LAB USA INC,+116,"$2,071.76",19.044,17.88,1.58,75836.03,HoldAccount,"Rocket Lab USA, Inc.",+49.48%,$685.78
ROP,+4.0428,"$2,383.55",535.1339,589.58,10.28,602.56,HoldAccount,"Roper Technologies, Inc.",+18.76%,$376.48
ROPER TECHNOLOGIES I,+4.0428,"$2,383.55",535.1339,589.58,10.28,602.56,HoldAccount,"Roper Technologies, Inc.",+18.76%,$376.48
RY,+8.87,$999.83,122.6974,112.72,2.23,2195.47,HoldAccount,Royal Bank of Canada,-2.59%,($26.56)
Royal Bank of Canada,+8.87,$999.83,122.6974,112.72,2.23,2195.47,HoldAccount,Royal Bank of Canada,-2.59%,($26.56)
SBRA,+116.7324,"$2,039.32",17.3661,17.47,0.39,1057.53,HoldAccount,"Sabra Health Care REIT, Inc.",-1.91%,($39.81)
SABRA HEALTH CARE RE REIT,+116.7324,"$2,039.32",17.3661,17.47,0.39,1057.53,HoldAccount,"Sabra Health Care REIT, Inc.",-1.91%,($39.81)
SEI,+52,"$1,131.52",32.8554,21.76,2.31,6426.01,HoldAccount,"Solaris Energy Infrastructure, Inc.",-29.13%,($465.16)
SOLARIS ENERGY INFRS A,+52,"$1,131.52",32.8554,21.76,2.31,6426.01,HoldAccount,"Solaris Energy Infrastructure, Inc.",-29.13%,($465.16)
SGU,+169.7364,"$2,237.13",13.3838,13.18,0.41,4595.54,HoldAccount,"Star Group, L.P.",-2.51%,($57.48)
STAR GROUP L P,+169.7364,"$2,237.13",13.3838,13.18,0.41,4595.54,HoldAccount,"Star Group, L.P.",-2.51%,($57.48)
SOUN,+320,"$2,585.60",13.1471,8.12,0.94,71241.19,HoldAccount,"SoundHound AI, Inc.",-26.78%,($945.75)
SOUNDHOUND AI INC A,+320,"$2,585.60",13.1471,8.12,0.94,71241.19,HoldAccount,"SoundHound AI, Inc.",-26.78%,($945.75)
TEVA,+139,"$2,136.43",22.0092,15.37,0.59,1416.42,HoldAccount,Teva Pharmaceutical Industries Limited,-17.56%,($454.95)
TEVA PHARMACEUTICAL ADR,+139,"$2,136.43",22.0092,15.37,0.59,1416.42,HoldAccount,Teva Pharmaceutical Industries Limited,-17.56%,($454.95)
TMUS,+62.7484,"$16,728.72",234.847,266.71,5.95,4235.0,HoldAccount,"T-Mobile US, Inc.",+36.43%,"$4,467.29"
T-MOBILE US INC,+62.7484,"$16,728.72",234.847,266.71,5.95,4235.0,HoldAccount,"T-Mobile US, Inc.",+36.43%,"$4,467.29"
UMC,+448.546,"$3,207.10",7.8517,7.15,0.25,-4331.26,HoldAccount,United Microelectronics Corporation,-11.59%,($420.42)
UNITED MICROELECTRON ADR,+448.546,"$3,207.10",7.8517,7.15,0.25,-4331.26,HoldAccount,United Microelectronics Corporation,-11.59%,($420.42)
UNM,+46.4351,"$3,782.60",77.7562,81.46,2.17,3788.11,HoldAccount,Unum Group,+49.08%,"$1,245.32"
UNUM GROUP,+46.4351,"$3,782.60",77.7562,81.46,2.17,3788.11,HoldAccount,Unum Group,+49.08%,"$1,245.32"
VRT,+57.0403,"$4,092.64",122.1954,72.20,6.48,4103.7,HoldAccount,Vertiv Holdings Co,-34.01%,"($2,109.30)"
VERTIV HLDGS CO A,+57.0403,"$4,092.64",122.1954,72.20,6.48,4103.7,HoldAccount,Vertiv Holdings Co,-34.01%,"($2,109.30)"

Cash & Sweep Vehicle,"$111,216.74"
OVERALL P/L YTD,"-$57,541.74"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,N/A
Available dollars,N/A
